record_id,document_type,image_filename,doc_date,organization_or_store,category,total_amount,payment_method,respondent_dept,satisfaction_score,usability_score,speed_score,handwritten_note,has_noise,is_low_resolution,expected_ocr_text,required_ocr_fields
R-0048,receipt,data/input_images/receipts/receipt_048_R-0048.jpg,2026-05-18,업무자동화카페,인쇄제본,95150,개인카드,,,,,프로젝트 자료,False,False,상호명 업무자동화카페; 일자 2026-05-18; 합계금액 95150; 수기메모 프로젝트 자료,"상호명, 일자, 합계금액, 수기메모"
S-0052,survey,data/input_images/surveys/survey_052_S-0052.jpg,2026-03-11,,만족도설문,,,기획팀,5,5,1,데이터 보정 기능 좋음,True,True,응답일 2026-03-11; 부서 기획팀; 전체만족도 5; 사용편의성 5; 응답속도 1; 추천의향 5; 수기의견 데이터 보정 기능 좋음,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0055,receipt,data/input_images/receipts/receipt_055_R-0055.jpg,2026-03-19,업무자동화카페,인쇄제본,91300,현금,,,,,대시보드 검토,False,True,상호명 업무자동화카페; 일자 2026-03-19; 합계금액 91300; 수기메모 대시보드 검토,"상호명, 일자, 합계금액, 수기메모"
S-0044,survey,data/input_images/surveys/survey_044_S-0044.jpg,2026-06-09,,만족도설문,,,데이터팀,2,3,5,이미지 업로드 편리,True,False,응답일 2026-06-09; 부서 데이터팀; 전체만족도 2; 사용편의성 3; 응답속도 5; 추천의향 4; 수기의견 이미지 업로드 편리,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0107,receipt,data/input_images/receipts/receipt_107_R-0107.jpg,2026-03-30,스마트오피스,클라우드서비스,89100,개인카드,,,,,실습 준비용,False,False,상호명 스마트오피스; 일자 2026-03-30; 합계금액 89100; 수기메모 실습 준비용,"상호명, 일자, 합계금액, 수기메모"
R-0111,receipt,data/input_images/receipts/receipt_111_R-0111.jpg,2026-04-08,테크문구,사무용품,140250,개인카드,,,,,대시보드 검토,False,True,상호명 테크문구; 일자 2026-04-08; 합계금액 140250; 수기메모 대시보드 검토,"상호명, 일자, 합계금액, 수기메모"
S-0033,survey,data/input_images/surveys/survey_033_S-0033.jpg,2026-07-09,,만족도설문,,,교육팀,5,5,3,보고서 자동화 유용,False,False,응답일 2026-07-09; 부서 교육팀; 전체만족도 5; 사용편의성 5; 응답속도 3; 추천의향 2; 수기의견 보고서 자동화 유용,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0069,receipt,data/input_images/receipts/receipt_069_R-0069.jpg,2026-07-03,테크문구,클라우드서비스,191950,현금,,,,,현장 실습비,True,False,상호명 테크문구; 일자 2026-07-03; 합계금액 191950; 수기메모 현장 실습비,"상호명, 일자, 합계금액, 수기메모"
R-0087,receipt,data/input_images/receipts/receipt_087_R-0087.jpg,2026-06-05,업무자동화카페,교육운영,254650,개인카드,,,,,대시보드 검토,False,False,상호명 업무자동화카페; 일자 2026-06-05; 합계금액 254650; 수기메모 대시보드 검토,"상호명, 일자, 합계금액, 수기메모"
R-0119,receipt,data/input_images/receipts/receipt_119_R-0119.jpg,2026-06-27,모두카페,인쇄제본,80300,계좌이체,,,,,프로젝트 자료,False,False,상호명 모두카페; 일자 2026-06-27; 합계금액 80300; 수기메모 프로젝트 자료,"상호명, 일자, 합계금액, 수기메모"
